City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Freeport,US,40.6576,-73.5832,63.28,76,100,11.5,overcast clouds
276,Ornskoldsvik,SE,63.2909,18.7153,47.35,100,100,4.61,drizzle
277,Alta Floresta,BR,-9.8756,-56.0861,91.22,55,0,2.3,clear sky
278,Riyadh,SA,24.6877,46.7219,89.74,15,0,6.87,clear sky
279,Monrovia,LR,6.3005,-10.7969,76.77,76,100,9.71,overcast clouds
280,Agua Branca,BR,-5.8922,-42.6361,102.63,20,50,5.86,scattered clouds
281,Guerrero Negro,MX,27.9769,-114.0611,68.34,74,98,11.45,overcast clouds
282,Zheleznodorozhnyy,RU,55.7503,38.0042,44.37,65,41,2.84,scattered clouds
283,Nacala,MZ,-14.5428,40.6728,74.71,73,0,7.0,clear sky
284,Pangnirtung,CA,66.1451,-65.7125,28.4,64,100,0.0,overcast clouds
285,Coquimbo,CL,-29.9533,-71.3436,58.73,77,40,13.8,scattered clouds
286,Baoma,CN,31.4859,106.1128,60.26,78,100,0.76,overcast clouds
287,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,94.35,43,41,4.83,scattered clouds
288,Fergus Falls,US,46.283,-96.0776,36.66,94,100,18.41,overcast clouds
289,Kavaratti,IN,10.5669,72.642,82.49,68,57,5.73,broken clouds
290,Recea,RO,47.6333,23.5167,61.79,77,0,1.14,clear sky
291,Santa Fe,AR,-31.6333,-60.7,72.5,20,84,12.17,broken clouds
292,Lublin,PL,51.0,23.0,51.39,70,79,6.22,broken clouds
293,Sirjan,IR,29.452,55.6814,69.89,18,3,1.77,clear sky
294,Iqaluit,CA,63.7506,-68.5145,29.93,80,75,6.91,broken clouds
295,Asifabad,IN,19.3667,79.2833,74.93,92,33,5.37,scattered clouds
296,Wukari,NG,7.85,9.7833,82.58,75,72,3.49,light rain
297,Yar-Sale,RU,66.8333,70.8333,41.41,90,100,9.55,overcast clouds
298,Oranjemund,NA,-28.55,16.4333,61.75,73,57,19.84,broken clouds
299,Angoche,MZ,-16.2325,39.9086,76.91,71,0,15.73,clear sky
300,Paragould,US,36.0584,-90.4973,72.09,35,0,1.99,clear sky
301,Palmer,US,42.1584,-72.3287,61.5,81,100,8.05,overcast clouds
302,Acapulco,MX,16.8634,-99.8901,82.18,80,37,2.66,light rain
303,Pavlodar,KZ,52.3,76.95,42.6,56,0,8.95,clear sky
304,Mbengwi,CM,6.0167,10.0,66.18,93,100,0.83,light rain
305,Toktogul,KG,41.8708,72.9402,62.85,28,100,0.78,overcast clouds
306,Kryvyy Rih,UA,47.9167,33.35,48.9,44,3,7.67,clear sky
307,Vardo,NO,70.3705,31.1107,39.18,93,75,1.14,broken clouds
308,Kruisfontein,ZA,-34.0033,24.7314,65.88,78,70,7.47,broken clouds
309,Keokuk,US,40.3973,-91.3849,54.27,43,0,12.66,clear sky
310,Savannakhet,LA,16.566,104.751,65.64,89,100,4.81,moderate rain
311,Rawa Mazowiecka,PL,51.7644,20.2549,58.55,67,40,3.87,scattered clouds
312,Karasjok,NO,69.4719,25.5112,37.74,96,99,1.86,overcast clouds
313,Balgazyn,RU,51.0,95.2,27.36,49,4,3.51,clear sky
314,Souillac,MU,-20.5167,57.5167,71.98,73,40,11.5,scattered clouds
315,Ust-Kuyga,RU,70.0167,135.6,9.43,96,98,6.4,overcast clouds
316,Beitbridge,ZW,-22.2167,30.0,94.03,16,78,12.53,broken clouds
317,Maracai,BR,-22.6106,-50.6672,76.37,66,99,9.24,overcast clouds
318,Monywa,MM,22.1167,95.1333,81.54,77,13,2.42,few clouds
319,Zyryanka,RU,65.75,150.85,10.6,95,100,0.81,overcast clouds
320,San Patricio,US,28.017,-97.5169,84.9,55,1,9.98,clear sky
321,Vammala,FI,61.3333,22.9,50.7,91,96,6.35,overcast clouds
322,Hobyo,SO,5.3505,48.5268,78.12,82,10,19.62,clear sky
323,Iturama,BR,-19.7281,-50.1956,95.05,18,41,4.41,scattered clouds
324,Fort Nelson,CA,58.8053,-122.7002,40.59,65,75,14.97,broken clouds
325,Athens,GR,37.9795,23.7162,64.17,79,75,8.01,broken clouds
326,Manturovo,RU,58.3353,44.7619,37.17,82,11,4.79,few clouds
327,Yantal,RU,56.8471,105.2542,29.77,96,99,4.27,overcast clouds
328,Morondava,MG,-20.2833,44.2833,77.74,76,45,13.38,scattered clouds
329,Vaitape,PF,-16.5167,-151.75,78.4,73,17,8.03,few clouds
330,Puerto Del Rosario,ES,28.5004,-13.8627,76.75,78,20,14.97,few clouds
331,Oistins,BB,13.0667,-59.5333,87.89,70,20,12.66,few clouds
332,Xochistlahuaca,MX,16.7833,-98.25,83.73,72,47,1.23,scattered clouds
333,Ekhabi,RU,53.5102,142.9671,36.86,87,17,2.98,few clouds
334,Tonekabon,IR,36.8163,50.8738,71.55,84,65,1.05,broken clouds
335,Puerto Escondido,MX,15.85,-97.0667,84.65,67,17,3.71,few clouds
336,Xining,CN,36.6167,101.7667,45.25,50,100,2.24,overcast clouds
337,Sechura,PE,-5.5569,-80.8222,73.17,55,21,9.06,few clouds
338,Kalevala,RU,65.2,31.1667,46.42,93,100,9.42,overcast clouds
339,Hegang,CN,47.4,130.3667,46.18,64,89,1.86,overcast clouds
340,Hay River,CA,60.8156,-115.7999,35.58,75,100,20.71,overcast clouds
341,North Platte,US,41.1239,-100.7654,61.07,40,0,15.01,clear sky
342,Berlevag,NO,70.8578,29.0864,37.2,86,55,6.91,broken clouds
343,Rajpipla,IN,21.8667,73.5,74.08,57,72,5.82,broken clouds
344,Uspenka,UA,48.3903,39.1619,47.23,58,37,6.91,scattered clouds
